(500, 0.00359079),
(1000, 0.00795093),
(1500, 0.0106732),
(2000, 0.0186801),
(2500, 0.0525997),
(3000, 0.0509367),
(3500, 0.0396772),
(4000, 0.0487402),
(4500, 0.0873952),
(5000, 0.0823544),
(5500, 0.0818212),
(6000, 0.100438),
(6500, 0.125718),
(7000, 0.127201),
(7500, 0.146683),
(8000, 0.141752),
(8500, 0.199729),
(9000, 0.182533),
(9500, 0.193014),
(10000, 0.185942),
(10500, 0.18513),
(11000, 0.22613),
(11500, 0.241763),
(12000, 0.272514),
(12500, 0.246319),
(13000, 0.222589),
(13500, 0.283422),
(14000, 0.25985),
(14500, 0.24902),
(15000, 0.28687),
(15500, 0.30676),
(16000, 0.277488),
(16500, 0.286991),
(17000, 0.298582),
(17500, 0.339986),
(18000, 0.405509),
(18500, 0.371119),
(19000, 0.3505),
(19500, 0.420942),
(20000, 0.380013),
(20500, 0.469607),
(21000, 0.430772),
(21500, 0.453948),
(22000, 0.417006),
(22500, 0.503156),
(23000, 0.491712),
(23500, 0.515988),
(24000, 0.43031),
(24500, 0.545925),
(25000, 0.492463),
(25500, 0.550573),
(26000, 0.497353),
(26500, 0.574684),
(27000, 0.585737),
(27500, 0.626004),
(28000, 0.600067),
(28500, 0.570974),
(29000, 0.603357),
(29500, 0.579316),
(30000, 0.583305),
(30500, 0.615107),
(31000, 0.634407),
(31500, 0.624359),
(32000, 0.702516),
(32500, 0.608298),
(33000, 0.643115),
(33500, 0.789601),
(34000, 0.690994),
(34500, 0.725106),
(35000, 0.752172),
(35500, 0.78266),
(36000, 0.723715),
(36500, 0.711089),
(37000, 0.872533),
(37500, 0.825634),
(38000, 0.835048),
(38500, 0.804086),
(39000, 0.839686),
(39500, 0.872542),
(40000, 0.813838),
(40500, 0.934358),
(41000, 0.947095),
(41500, 0.951834),
(42000, 0.962878),
(42500, 1.00736),
(43000, 0.980474),
(43500, 1.13932),
(44000, 1.02706),
(44500, 1.28836),
(45000, 1.01646),
(45500, 1.06875),
(46000, 1.3625),
(46500, 1.41015),
(47000, 1.02898),
(47500, 1.21764),
(48000, 1.15393),
(48500, 1.21056),
(49000, 1.40896),
(49500, 1.41508),
(50000, 1.11319),
(50500, 1.29031),
(51000, 1.38513),
(51500, 1.48138),
(52000, 3.02341),
(52500, 8.35477),
(53000, 4.03703),
(53500, 1.15157),
(54000, 1.11397),
(54500, 1.22967),
(55000, 1.16294),
(55500, 1.19745),
(56000, 1.28516),
(56500, 1.33066),
(57000, 1.32475),
(57500, 1.45201),
(58000, 1.3007),
(58500, 1.30145),
(59000, 1.45825),
(59500, 1.38737),
(60000, 1.30412),
(60500, 1.3938),
(61000, 1.62065),
(61500, 1.37481),
(62000, 1.64955),
(62500, 1.6535),
(63000, 1.35705),
(63500, 1.70571),
(64000, 1.83972),
(64500, 1.56792),
(65000, 1.86604),
(65500, 1.72034),
(66000, 1.76432),
(66500, 1.49798),
(67000, 1.94813),
(67500, 1.73799),
(68000, 1.81291),
(68500, 1.77439),
(69000, 1.93728),
(69500, 2.19908),
(70000, 1.77182),
(70500, 2.28746),
(71000, 9.00537),
(71500, 4.88313),
(72000, 1.47609),
(72500, 1.5184),
(73000, 1.63594),
(73500, 1.68668),
(74000, 1.72059),
(74500, 1.74136),
(75000, 1.85116),
(75500, 1.96158),
(76000, 2.10532),
(76500, 1.72055),
(77000, 2.10716),
(77500, 2.06044),
(78000, 2.04551),
(78500, 1.85961),
(79000, 1.99404),
(79500, 2.50034),
