(500, 0.0487),
(1000, 0.1034),
(1500, 0.0917),
(2000, 0.1246),
(2500, 0.1889),
(3000, 0.2072),
(3500, 0.2954),
(4000, 0.2785),
(4500, 0.3155),
(5000, 0.3322),
(5500, 0.3808),
(6000, 0.5001),
(6500, 0.4103),
(7000, 0.4613),
(7500, 0.5294),
(8000, 0.5232),
(8500, 0.5866),
(9000, 0.5643),
(9500, 0.6561),
(10000, 0.7109),
(10500, 0.7106),
(11000, 0.7486),
(11500, 0.8852),
(12000, 0.7627),
(12500, 0.9468),
(13000, 1.0463),
(13500, 0.9457),
(14000, 1.0021),
(14500, 1.3197),
(15000, 1.6229),
(15500, 1.1859),
(16000, 1.2707),
(16500, 1.1097),
(17000, 1.2250),
(17500, 1.0159),
(18000, 1.1434),
(18500, 1.2338),
(19000, 1.4237),
(19500, 1.3965),
(20000, 1.5414),
(20500, 1.5660),
(21000, 1.5595),
(21500, 1.9518),
(22000, 1.7116),
(22500, 1.8740),
(23000, 1.7247),
(23500, 1.4162),
(24000, 3.6738),
(24500, 1.6224),
(25000, 2.1621),
(25500, 1.9910),
(26000, 1.6311),
(26500, 2.4551),
(27000, 2.5631),
(27500, 3.0018),
(28000, 1.9174),
(28500, 2.5692),
(29000, 2.2566),
(29500, 2.5001),
(30000, 1.8367),
(30500, 2.0092),
(31000, 2.1400),
(31500, 2.3531),
(32000, 2.8622),
(32500, 2.2421),
(33000, 2.6366),
(33500, 2.3499),
(34000, 3.5690),
(34500, 3.0980),
(35000, 2.5054),
(35500, 2.9109),
(36000, 2.6811),
(36500, 3.1241),
(37000, 3.2655),
(37500, 3.7624),
(38000, 4.1488),
(38500, 3.0882),
(39000, 3.3164),
(39500, 3.4476),
(40000, 2.7633),
(40500, 3.9933),
(41000, 2.4829),
(41500, 3.0531),
(42000, 2.8670),
(42500, 3.4105),
(43000, 3.0017),
(43500, 3.4276),
(44000, 3.0858),
(44500, 3.9807),
(45000, 3.8069),
(45500, 3.7347),
(46000, 3.8051),
(46500, 3.7018),
(47000, 4.1289),
(47500, 4.2385),
(48000, 5.2453),
(48500, 4.8002),
(49000, 4.3317),
(49500, 3.9767),
(50000, 4.8978)
